"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 12:18:01 UTC 2022","Tue Nov 08 12:18:34 UTC 2022","32908","","Edit Profile: [VS-723] User is able to change ""Drugs""","","Edit Profile: [VS-723] User is able to change ""Drugs""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:34:19 UTC 2022","Tue Nov 08 11:34:35 UTC 2022","15874","","Edit Profile: [VS-714] User is able to change ""Languages""","","Edit Profile: [VS-714] User is able to change ""Languages""","Should go to ""Edit Profile"" page and add language in ""Languages"".","Should go to ""Edit Profile"" page and add language in ""Languages"".",""
"passed","Tue Nov 08 11:44:26 UTC 2022","Tue Nov 08 11:44:34 UTC 2022","7403","","Edit Profile: [VS-716] User is able to change ""Interests""","","Edit Profile: [VS-716] User is able to change ""Interests""","Should go to ""View Profile"" and verify that ""Interests"" is changed.","Should go to ""View Profile"" and verify that ""Interests"" is changed.",""
"passed","Tue Nov 08 12:41:14 UTC 2022","Tue Nov 08 12:41:23 UTC 2022","8833","","Edit Profile: [VS-725] User is able to change ""Children""","","Edit Profile: [VS-725] User is able to change ""Children""","Should go to ""View Profile"" and verify that ""Children"" is changed.","Should go to ""View Profile"" and verify that ""Children"" is changed.",""
"passed","Tue Nov 08 12:05:42 UTC 2022","Tue Nov 08 12:05:50 UTC 2022","7687","","Edit Profile: [VS-721] User is able to change ""Smoke""","","Edit Profile: [VS-721] User is able to change ""Smoke""","Should go to ""View Profile"" and verify that ""Smoke"" is changed.","Should go to ""View Profile"" and verify that ""Smoke"" is changed.",""
"passed","Tue Nov 08 11:13:32 UTC 2022","Tue Nov 08 11:13:40 UTC 2022","8045","","Edit Profile: [VS-683] User is able to add/edit ""About me""","","Edit Profile: [VS-683] User is able to add/edit ""About me""","Should click ""Preview"" btn and verify that ""About Me"" is changed.","Should click ""Preview"" btn and verify that ""About Me"" is changed.",""
"passed","Tue Nov 08 11:15:58 UTC 2022","Tue Nov 08 11:16:00 UTC 2022","1680","","Edit Profile: [VS-673] User is able to see profile preview","","Edit Profile: [VS-673] User is able to see profile preview","Should go to ""Edit Profile"" page.","Should go to ""Edit Profile"" page.",""
"passed","Tue Nov 08 10:58:28 UTC 2022","Tue Nov 08 10:58:35 UTC 2022","7220","","Log In: [VS-652] Log in with phone number: Log in with wrong password","","Log In: [VS-652] Log in with phone number: Log in with wrong password","Should open login page","Should open login page",""
"passed","Tue Nov 08 11:52:16 UTC 2022","Tue Nov 08 11:52:32 UTC 2022","15780","","Edit Profile: [VS-715] User is able to add/change ""University/School""","","Edit Profile: [VS-715] User is able to add/change ""University/School""","Should go to ""Edit Profile"" page and change ""University/School""..","Should go to ""Edit Profile"" page and change ""University/School""..",""
"passed","Tue Nov 08 12:18:34 UTC 2022","Tue Nov 08 12:18:48 UTC 2022","14044","","Edit Profile: [VS-723] User is able to change ""Drugs""","","Edit Profile: [VS-723] User is able to change ""Drugs""","Should go to ""Edit Profile"" page and change ""Drugs"".","Should go to ""Edit Profile"" page and change ""Drugs"".",""
"passed","Tue Nov 08 12:20:36 UTC 2022","Tue Nov 08 12:21:06 UTC 2022","30591","","Edit Profile: [VS-722] User is able to change ""Drinking""","","Edit Profile: [VS-722] User is able to change ""Drinking""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:32:22 UTC 2022","Tue Nov 08 11:32:30 UTC 2022","8259","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","Should go to ""View Profile"" and verify that ""My Favorite Quote"" is changed.","Should go to ""View Profile"" and verify that ""My Favorite Quote"" is changed.",""
"passed","Tue Nov 08 10:49:39 UTC 2022","Tue Nov 08 10:50:05 UTC 2022","25592","","Log In: [VS-650] Log in with phone number: Log in with an account with ""Pending"" status","","Log In: [VS-650] Log in with phone number: Log in with an account with ""Pending"" status","Should login with valid cred.","Should login with valid cred.",""
"passed","Tue Nov 08 12:02:58 UTC 2022","Tue Nov 08 12:03:20 UTC 2022","21829","","Edit Profile: [VS-717] User is able to change ""Height""","","Edit Profile: [VS-717] User is able to change ""Height""","Should go to ""Edit Profile"" page and change ""Height"".","Should go to ""Edit Profile"" page and change ""Height"".",""
"passed","Tue Nov 08 12:43:53 UTC 2022","Tue Nov 08 12:50:42 UTC 2022","409273","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should fill ""Matching Survey"" flow","Should fill ""Matching Survey"" flow",""
